Date,Month,MonthSort,Year,Quarter,Channel,Source,Campaign,Impressions,Clicks,Spend,VideoViews,Conversions,Revenue,CTR_pct,CPM,CPC,ConversionRate_pct
2026-04-12,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Google Analytics,Retargeting Display,214416,6432,17688.0,32162,386,212300.0,2.9998,82.4938,2.75,6.0012
2026-03-12,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Bing Ads,Demo Requests,229377,6881,18922.75,34407,413,227150.0,2.9999,82.4963,2.75,6.002
2026-03-09,Mar 2026,2026-03,2026,Q1 2026,Organic,StackAdapt,LinkedIn Lead Gen,159865,4796,13189.0,23980,288,158400.0,3.0,82.5009,2.75,6.005
2026-03-31,Mar 2026,2026-03,2026,Q1 2026,Organic,Google Analytics,Facebook Prospecting,175369,5261,14467.75,26305,316,173800.0,3.0,82.4989,2.75,6.0065
2026-02-05,Feb 2026,2026-02,2026,Q1 2026,Paid Search,LinkedIn Ads,Organic Content,153937,4618,12699.5,23091,277,152350.0,2.9999,82.498,2.75,5.9983
2026-03-21,Mar 2026,2026-03,2026,Q1 2026,Organic,HubSpot,Google Nonbrand,45249,1357,3731.75,6787,81,44550.0,2.999,82.4714,2.75,5.969
2025-12-26,Dec 2025,2025-12,2025,Q4 2025,Paid Search,Bing Ads,Bing Search,228351,6851,18840.25,34253,411,226050.0,3.0002,82.5057,2.75,5.9991
2026-01-13,Jan 2026,2026-01,2026,Q1 2026,Organic,Google Analytics,Demo Requests,18710,561,1542.75,2807,34,18700.0,2.9984,82.4559,2.75,6.0606
2026-03-28,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Bing Ads,Brand Search,46244,1387,3814.25,6937,83,45650.0,2.9993,82.481,2.75,5.9841
2026-03-16,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Bing Ads,Organic Content,100613,3018,8299.5,15092,181,99550.0,2.9996,82.4893,2.75,5.9973
2025-12-24,Dec 2025,2025-12,2025,Q4 2025,Organic,HubSpot,Facebook Prospecting,208929,6268,17237.0,31339,376,206800.0,3.0001,82.5017,2.75,5.9987
2026-02-17,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Amazon Ad Server,Brand Search,54880,1646,4526.5,8232,99,54450.0,2.9993,82.48,2.75,6.0146
2026-03-09,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Amazon Ad Server,Email Nurture,205077,6152,16918.0,30762,369,202950.0,2.9998,82.4958,2.75,5.998
2026-03-24,Mar 2026,2026-03,2026,Q1 2026,Organic,Bing Ads,Email Nurture,121541,3646,10026.5,18231,219,120450.0,2.9998,82.4948,2.75,6.0066
2025-12-16,Dec 2025,2025-12,2025,Q4 2025,Organic,Bing Ads,Google Nonbrand,20158,605,1663.75,3024,36,19800.0,3.0013,82.5355,2.75,5.9504
2026-03-09,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Google Analytics,Competitor Search,126132,3784,10406.0,18920,227,124850.0,3.0,82.5009,2.75,5.9989
2025-12-15,Dec 2025,2025-12,2025,Q4 2025,Paid Search,HubSpot,Retargeting Display,123846,3715,10216.25,18577,223,122650.0,2.9997,82.4916,2.75,6.0027
2026-01-03,Jan 2026,2026-01,2026,Q1 2026,Paid Search,StackAdapt,Facebook Prospecting,24718,742,2040.5,3708,45,24750.0,3.0019,82.5512,2.75,6.0647
2026-02-09,Feb 2026,2026-02,2026,Q1 2026,Organic,Google Ads,Bing Search,220869,6626,18221.5,33130,398,218900.0,3.0,82.4991,2.75,6.0066
2026-02-27,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Amazon Ad Server,Brand Search,239889,7197,19791.75,35983,432,237600.0,3.0001,82.5038,2.75,6.0025
2026-02-22,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Amazon Ad Server,Retargeting Display,47830,1435,3946.25,7175,86,47300.0,3.0002,82.5057,2.75,5.993
2026-03-13,Mar 2026,2026-03,2026,Q1 2026,Paid Social,HubSpot,Demo Requests,162785,4884,13431.0,24418,293,161150.0,3.0003,82.5076,2.75,5.9992
2026-03-14,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Bing Ads,Facebook Prospecting,126604,3798,10444.5,18991,228,125400.0,2.9999,82.4974,2.75,6.0032
2026-03-10,Mar 2026,2026-03,2026,Q1 2026,Organic,Facebook Ads,Demo Requests,130297,3909,10749.75,19545,235,129250.0,3.0001,82.5019,2.75,6.0118
2026-03-20,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Bing Ads,Google Nonbrand,8885,267,734.25,1333,16,8800.0,3.0051,82.6393,2.75,5.9925
2025-12-15,Dec 2025,2025-12,2025,Q4 2025,Paid Social,StackAdapt,Brand Search,108244,3247,8929.25,16237,195,107250.0,2.9997,82.4919,2.75,6.0055
2025-12-18,Dec 2025,2025-12,2025,Q4 2025,Organic,Google Analytics,Bing Search,235630,7069,19439.75,35345,424,233200.0,3.0,82.5012,2.75,5.998
2026-02-21,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Facebook Ads,Google Nonbrand,245702,7371,20270.25,36855,442,243100.0,3.0,82.4993,2.75,5.9965
2026-03-06,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Amazon Ad Server,Email Nurture,209416,6282,17275.5,31412,377,207350.0,2.9998,82.4937,2.75,6.0013
2026-03-08,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Google Analytics,LinkedIn Lead Gen,190611,5718,15724.5,28592,343,188650.0,2.9998,82.4952,2.75,5.9986
2025-11-24,Nov 2025,2025-11,2025,Q4 2025,Paid Search,LinkedIn Ads,Demo Requests,199292,5979,16442.25,29894,359,197450.0,3.0001,82.5033,2.75,6.0043
2025-11-14,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Amazon Ad Server,Email Nurture,76865,2306,6341.5,11530,138,75900.0,3.0001,82.5018,2.75,5.9844
2025-12-01,Dec 2025,2025-12,2025,Q4 2025,Paid Social,Bing Ads,Facebook Prospecting,138242,4147,11404.25,20736,249,136950.0,2.9998,82.4948,2.75,6.0043
2026-02-17,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Amazon Ad Server,Awareness Push,102653,3080,8470.0,15398,185,101750.0,3.0004,82.511,2.75,6.0065
2026-04-21,Apr 2026,2026-04,2026,Q2 2026,Organic,Google Ads,Facebook Prospecting,222967,6689,18394.75,33445,401,220550.0,3.0,82.4999,2.75,5.9949
2025-11-09,Nov 2025,2025-11,2025,Q4 2025,Programmatic,Bing Ads,Competitor Search,51482,1544,4246.0,7722,93,51150.0,2.9991,82.4754,2.75,6.0233
2025-12-25,Dec 2025,2025-12,2025,Q4 2025,Paid Social,StackAdapt,Brand Search,184044,5521,15182.75,27607,331,182050.0,2.9998,82.4952,2.75,5.9953
2026-03-22,Mar 2026,2026-03,2026,Q1 2026,Paid Search,HubSpot,Google Nonbrand,86846,2605,7163.75,13027,156,85800.0,2.9996,82.488,2.75,5.9885
2025-11-30,Nov 2025,2025-11,2025,Q4 2025,Organic,Google Ads,Facebook Prospecting,204096,6123,16838.25,30614,367,201850.0,3.0001,82.5016,2.75,5.9938
2026-02-15,Feb 2026,2026-02,2026,Q1 2026,Organic,Amazon Ad Server,Bing Search,166130,4984,13706.0,24920,299,164450.0,3.0001,82.5017,2.75,5.9992
2025-12-22,Dec 2025,2025-12,2025,Q4 2025,Programmatic,Amazon Ad Server,Facebook Prospecting,29326,880,2420.0,4399,53,29150.0,3.0008,82.5206,2.75,6.0227
